MMWR_Week,Week_Start,Week_End,ZIP_Code,ILI_Activity_Level,RECORD_ID,ZIP_Code_Location
20,05/10/2020,05/16/2020,60707,1,2020-20-60707,POINT (-87.808283 41.921777)
20,05/10/2020,05/16/2020,60666,1,2020-20-60666,POINT (-87.896371 41.979511)
20,05/10/2020,05/16/2020,60661,1,2020-20-60661,POINT (-87.644283 41.882786)
20,05/10/2020,05/16/2020,60660,7,2020-20-60660,POINT (-87.666362 41.991062)
20,05/10/2020,05/16/2020,60659,10,2020-20-60659,POINT (-87.703266 41.990803)
20,05/10/2020,05/16/2020,60657,4,2020-20-60657,POINT (-87.658216 41.939715)
20,05/10/2020,05/16/2020,60656,6,2020-20-60656,POINT (-87.817934 41.974566)
20,05/10/2020,05/16/2020,60655,6,2020-20-60655,POINT (-87.701434 41.696456)
20,05/10/2020,05/16/2020,60654,1,2020-20-60654,POINT (-87.636354 41.892485)
20,05/10/2020,05/16/2020,60653,4,2020-20-60653,POINT (-87.611244 41.819261)
20,05/10/2020,05/16/2020,60652,9,2020-20-60652,POINT (-87.714238 41.745398)
20,05/10/2020,05/16/2020,60651,5,2020-20-60651,POINT (-87.741017 41.901964)
20,05/10/2020,05/16/2020,60649,8,2020-20-60649,POINT (-87.571522 41.762202)
20,05/10/2020,05/16/2020,60647,7,2020-20-60647,POINT (-87.701101 41.921058)
20,05/10/2020,05/16/2020,60646,1,2020-20-60646,POINT (-87.761826 41.993931)
20,05/10/2020,05/16/2020,60645,1,2020-20-60645,POINT (-87.695049 42.008927)
20,05/10/2020,05/16/2020,60644,1,2020-20-60644,POINT (-87.756863 41.881113)
20,05/10/2020,05/16/2020,60643,6,2020-20-60643,POINT (-87.662381 41.700445)
20,05/10/2020,05/16/2020,60642,3,2020-20-60642,POINT (-87.657821 41.899935)
20,05/10/2020,05/16/2020,60641,4,2020-20-60641,POINT (-87.746791 41.946682)
20,05/10/2020,05/16/2020,60640,2,2020-20-60640,POINT (-87.662232 41.971888)
20,05/10/2020,05/16/2020,60639,7,2020-20-60639,POINT (-87.75531 41.920609)
20,05/10/2020,05/16/2020,60638,10,2020-20-60638,POINT (-87.771902 41.787032)
20,05/10/2020,05/16/2020,60637,5,2020-20-60637,POINT (-87.604053 41.780991)
20,05/10/2020,05/16/2020,60636,2,2020-20-60636,POINT (-87.668597 41.77599)
20,05/10/2020,05/16/2020,60634,4,2020-20-60634,POINT (-87.797373 41.944967)
20,05/10/2020,05/16/2020,60633,1,2020-20-60633,POINT (-87.556037 41.653147)
20,05/10/2020,05/16/2020,60632,10,2020-20-60632,POINT (-87.711251 41.810038)
20,05/10/2020,05/16/2020,60631,1,2020-20-60631,POINT (-87.813371 41.995019)
20,05/10/2020,05/16/2020,60630,4,2020-20-60630,POINT (-87.759611 41.971261)
20,05/10/2020,05/16/2020,60629,10,2020-20-60629,POINT (-87.711565 41.777061)
20,05/10/2020,05/16/2020,60628,10,2020-20-60628,POINT (-87.621537 41.694192)
20,05/10/2020,05/16/2020,60626,4,2020-20-60626,POINT (-87.669834 42.009469)
20,05/10/2020,05/16/2020,60625,3,2020-20-60625,POINT (-87.701816 41.971155)
20,05/10/2020,05/16/2020,60624,1,2020-20-60624,POINT (-87.722735 41.879417)
20,05/10/2020,05/16/2020,60623,3,2020-20-60623,POINT (-87.717446 41.850321)
20,05/10/2020,05/16/2020,60622,1,2020-20-60622,POINT (-87.681818 41.902762)
20,05/10/2020,05/16/2020,60621,1,2020-20-60621,POINT (-87.638812 41.776931)
20,05/10/2020,05/16/2020,60620,3,2020-20-60620,POINT (-87.651656 41.740873)
20,05/10/2020,05/16/2020,60619,10,2020-20-60619,POINT (-87.60569 41.744737)
20,05/10/2020,05/16/2020,60618,6,2020-20-60618,POINT (-87.703343 41.946699)
20,05/10/2020,05/16/2020,60617,10,2020-20-60617,POINT (-87.556897 41.721257)
20,05/10/2020,05/16/2020,60616,10,2020-20-60616,POINT (-87.629531 41.844869)
20,05/10/2020,05/16/2020,60615,6,2020-20-60615,POINT (-87.602725 41.801993)
20,05/10/2020,05/16/2020,60614,1,2020-20-60614,POINT (-87.652064 41.922605)
20,05/10/2020,05/16/2020,60613,7,2020-20-60613,POINT (-87.661343 41.953742)
20,05/10/2020,05/16/2020,60612,5,2020-20-60612,POINT (-87.687011 41.88004)
20,05/10/2020,05/16/2020,60611,1,2020-20-60611,POINT (-87.620291 41.894734)
20,05/10/2020,05/16/2020,60610,1,2020-20-60610,POINT (-87.63581 41.90455)
20,05/10/2020,05/16/2020,60609,10,2020-20-60609,POINT (-87.653382 41.812017)
20,05/10/2020,05/16/2020,60608,3,2020-20-60608,POINT (-87.670366 41.849879)
20,05/10/2020,05/16/2020,60607,1,2020-20-60607,POINT (-87.652727 41.876104)
20,05/10/2020,05/16/2020,60606,4,2020-20-60606,POINT (-87.63676 41.882634)
20,05/10/2020,05/16/2020,60605,10,2020-20-60605,POINT (-87.623449 41.867824)
20,05/10/2020,05/16/2020,60604,10,2020-20-60604,POINT (-87.629029 41.878153)
20,05/10/2020,05/16/2020,60602,10,2020-20-60602,POINT (-87.628309 41.883136)
20,05/10/2020,05/16/2020,60601,1,2020-20-60601,POINT (-87.622844 41.886262)
19,05/03/2020,05/09/2020,60707,1,2020-19-60707,POINT (-87.808283 41.921777)
19,05/03/2020,05/09/2020,60666,1,2020-19-60666,POINT (-87.896371 41.979511)
19,05/03/2020,05/09/2020,60661,1,2020-19-60661,POINT (-87.644283 41.882786)
19,05/03/2020,05/09/2020,60660,5,2020-19-60660,POINT (-87.666362 41.991062)
19,05/03/2020,05/09/2020,60659,10,2020-19-60659,POINT (-87.703266 41.990803)
19,05/03/2020,05/09/2020,60657,9,2020-19-60657,POINT (-87.658216 41.939715)
19,05/03/2020,05/09/2020,60656,1,2020-19-60656,POINT (-87.817934 41.974566)
19,05/03/2020,05/09/2020,60655,6,2020-19-60655,POINT (-87.701434 41.696456)
19,05/03/2020,05/09/2020,60654,3,2020-19-60654,POINT (-87.636354 41.892485)
19,05/03/2020,05/09/2020,60653,3,2020-19-60653,POINT (-87.611244 41.819261)
19,05/03/2020,05/09/2020,60652,10,2020-19-60652,POINT (-87.714238 41.745398)
19,05/03/2020,05/09/2020,60651,3,2020-19-60651,POINT (-87.741017 41.901964)
19,05/03/2020,05/09/2020,60649,10,2020-19-60649,POINT (-87.571522 41.762202)
19,05/03/2020,05/09/2020,60647,10,2020-19-60647,POINT (-87.701101 41.921058)
19,05/03/2020,05/09/2020,60646,3,2020-19-60646,POINT (-87.761826 41.993931)
19,05/03/2020,05/09/2020,60645,6,2020-19-60645,POINT (-87.695049 42.008927)
19,05/03/2020,05/09/2020,60644,4,2020-19-60644,POINT (-87.756863 41.881113)
19,05/03/2020,05/09/2020,60643,7,2020-19-60643,POINT (-87.662381 41.700445)
19,05/03/2020,05/09/2020,60642,10,2020-19-60642,POINT (-87.657821 41.899935)
19,05/03/2020,05/09/2020,60641,9,2020-19-60641,POINT (-87.746791 41.946682)
19,05/03/2020,05/09/2020,60640,2,2020-19-60640,POINT (-87.662232 41.971888)
